Source.Name	TRATTA_ID	ENTE	TIPO_PERMESSO	STATO_PERMESSO	DATA_RICHIESTA	DATA_ULTIMA_MODIFICA	DATA_APPROVAZIONE	NULLA OSTA NECESSARIO	ORDINANZA NECESSARIA	CONVENZIONE	POLIZZA 	NOTE	LUNGHEZZA	PRATICA	N_SED	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63
Lotto 1.xlsx	TR_0005												100,62																																																		
Lotto 1.xlsx	TR_0011												70,31																																																		
Lotto 1.xlsx	TR_0012												230,88																																																		
Lotto 1.xlsx	TR_0016												204,09																																																		
Lotto 1.xlsx	TR_0017												505,66																																																		
Lotto 1.xlsx	TR_0018												136,32																																																		
Lotto 1.xlsx	TR_0019												26,5																																																		
Lotto 1.xlsx	TR_0020												51,62																																																		
Lotto 1.xlsx	TR_0023												331,07																																																		
Lotto 1.xlsx	TR_0024												1687,57																																																		
Lotto 1.xlsx	TR_0025												1521,51																																																		
Lotto 1.xlsx	TR_0026												1312,03																																																		
Lotto 1.xlsx	TR_0027												252,51																																																		
Lotto 1.xlsx	TR_0028												66,63																																																		
Lotto 1.xlsx	TR_0030												344,48																																																		
Lotto 1.xlsx	TR_0032												338,27																																																		
Lotto 1.xlsx	TR_0033												1132,37																																																		
Lotto 1.xlsx	TR_0034												1703,84																																																		
Lotto 1.xlsx	TR_0035												77,67																																																		
Lotto 1.xlsx	TR_0036												698,91																																																		
Lotto 1.xlsx	TR_0037												201,15																																																		
Lotto 1.xlsx	TR_0038												303,5																																																		
Lotto 1.xlsx	TR_0039												511,79																																																		
Lotto 1.xlsx	TR_0040												750,21																																																		
Lotto 1.xlsx	TR_0043												121,19																																																		
Lotto 1.xlsx	TR_0044												48,61																																																		
Lotto 1.xlsx	TR_0045												227,27																																																		
Lotto 1.xlsx	TR_0046												84,01																																																		
Lotto 1.xlsx	TR_0077												1070,71																																																		
Lotto 1.xlsx	TR_0078												321,94																																																		
Lotto 1.xlsx	TR_0173												629,43																																																		
Lotto 1.xlsx	TR_0174												161,96																																																		
Lotto 1.xlsx	TR_0175												993,83																																																		
Lotto 1.xlsx	TR_0178												517,89																																																		
Lotto 1.xlsx	TR_0179												1156,38																																																		
Lotto 1.xlsx	TR_0230												114,3																																																		
Lotto 1.xlsx	TR_0231												368,73																																																		
Lotto 1.xlsx	TR_0232												375,26																																																		
Lotto 1.xlsx	TR_0233												947,34																																																		
Lotto 1.xlsx	TR_0234												100,54																																																		
Lotto 1.xlsx	TR_0235												202,84																																																		
Lotto 1.xlsx	TR_0236												48,27																																																		
Lotto 1.xlsx	TR_0237												233,81																																																		
Lotto 1.xlsx	TR_0241												1350,97																																																		
Lotto 1.xlsx	TR_0244												164,43																																																		
Lotto 1.xlsx	TR_0245												376,43																																																		
Lotto 1.xlsx	TR_0246												618,01																																																		
Lotto 1.xlsx	TR_0262												374,21																																																		
Lotto 1.xlsx	TR_0263												105,08																																																		
Lotto 1.xlsx	TR_0264												162,15																																																		
Lotto 1.xlsx	TR_0284												921,68																																																		
Lotto 1.xlsx	TR_0285												366,47																																																		
Lotto 1.xlsx	TR_0287												1363,43																																																		
Lotto 1.xlsx	TR_0288												424,79																																																		
Lotto 1.xlsx	TR_0289												1572,89																																																		
Lotto 1.xlsx	TR_0290												1910,52																																																		
Lotto 1.xlsx	TR_0294												581,37																																																		
Lotto 1.xlsx	TR_0295												110,02																																																		
