fid,TIPOLOGIA,PROVINCIA,COMUNE,CLUSTER,ROUTE,ENTE,ENTE 2,LUNGHEZZA,SPAN,LOTTO,TRATTA_ID,MOTIVO_NO,STATO_AUTORIZZAZIONE,STATO_NULLAOSTA,STATO_ORDINANZA,PROTOCOLLO_AUT,PRATICA,LAVORABILE,STATO_LEGENDA,CAMPO AWS
1,SCAVO,BG,VAPRIO D'ADDA,3,4,COMUNE,,1365.52,4_1_2,3,TR_0001,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
2,NO DIG,BG,POZZO D'ADDA,3,4,PROVINCIA DI MILANO,,1967.49,4_1_2,3,TR_0002,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
4,CANALETTA,BG,VAPRIO D'ADDA,3,4,PROVINCIA DI BERGAMO,AIPO,28.34,4_1_2,3,TR_0004,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
6,NO DIG,BG,OSIO SOPRA,7,38,COMUNE,,87.09,38,7,TR_0006,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
7,NO DIG,BG,AZZANO SAN PAOLO,6,2,COMUNE,,165.95,2_1,7,TR_0007,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
8,NO DIG,BG,AZZANO SAN PAOLO,6,3,COMUNE,,575.93,3_1,7,TR_0008,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
9,NO DIG,BG,BERGAMO,6,3,COMUNE,AUTOSTRADE,67.93,3_1,7,TR_0009,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
10,NO DIG,BG,BERGAMO,6,3,COMUNE,,349.78,3_1,7,TR_0010,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
11,NO DIG,BG,BERGAMO,3,6,COMUNE,AUTOSTRADE,70.31,6_1,1,TR_0011,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
12,NO DIG,BG,BERGAMO,3,6,PROVINCIA DI BERGAMO,,230.88,6_1,1,TR_0012,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
13,NO DIG,BG,BERGAMO,6,2,COMUNE,AUTOSTRADE,70.53,2_2,7,TR_0013,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
14,NO DIG,BG,BERGAMO,6,2,PROVINCIA DI BERGAMO,,115.7,2_2,7,TR_0014,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
16,NO DIG,BG,STEZZANO,3,6,PROVINCIA DI BERGAMO,ANAS,204.09,6_2,1,TR_0016,Manca autorizz,IN ATTESA,NON NECESSARIO,NON NECESSARIO,,,NO,IN ATTESA,NOT STARTED
