LOTTO;STATO_AUTORIZZAZIONE;Metri;TotaleMetri;Percentuale
1;IN ATTESA;50.925,69;50.925,69;100,00%
1A;PROTOCOLLATO;9.001,93;16.890,42;53,30%
1A;NECESSARIA INTEGRAZIONE;7.429,93;16.890,42;43,99%
1A;OTTENUTO;458,56;16.890,42;2,71%
1B;PROTOCOLLATO INTEGRAZIONE;6.248,47;8.524,01;73,30%
1B;COORDINAMENTO;2.275,54;8.524,01;26,70%
2;IN ATTESA;48.530,11;48.530,11;100,00%
2A;OTTENUTO;6.268,30;12.330,68;50,83%
2A;NECESSARIA INTEGRAZIONE;1.421,60;12.330,68;11,53%
2A;PROTOCOLLATO INTEGRAZIONE;4.640,78;12.330,68;37,64%
2B;OTTENUTO;10.408,10;15.339,99;67,85%
2B;PROTOCOLLATO INTEGRAZIONE;3.237,15;15.339,99;21,10%
2B;IN REDAZIONE INTEGRAZIONE;1.694,74;15.339,99;11,05%
3;IN ATTESA;46.258,84;46.258,84;100,00%
4;IN ATTESA;56.003,02;56.003,02;100,00%
5;IN ATTESA;48.332,92;48.332,92;100,00%
6;IN ATTESA;58.051,50;58.051,50;100,00%
7;IN ATTESA;47.183,51;47.183,51;100,00%
8;IN ATTESA;19.616,90;19.616,90;100,00%
