tratta_id;pratica;tipo_sollecito;data_sollecito;note;impresa;created_at
TR_0547;NO/18/1A;MAIL;28/07/2026;Sollecito via mail a referente Lorenzo Longoni di regione Lombardia;Valtellina;2026-08-04T13:16:10.161487+00:00
TR_0443;NO/8/1A;MAIL;28/07/2026;Sollecito via mail a referente Lorenzo Longoni di regione Lombardia;Valtellina;2026-08-04T13:15:33.800900+00:00
TR_0528;NO/9/2A;PEC;28/07/2026;inoltrata richiesta formale di aggiornamenti sullo stato della pratica;Sielte;2026-07-28T15:23:22.632496+00:00
TR_0227;AUT/11/2A;PEC;23/07/2026;inviato sollecito via pec dopo aver provato ripetutamente a contattare telefonicamente gli uffici provinciali;Sielte;2026-07-23T13:48:39.818660+00:00
TR_0818;AUT/11/2A;PEC;23/07/2026;inviato sollecito via pec dopo aver provato ripetutamente a contattare telefonicamente gli uffici provinciali;Sielte;2026-07-23T13:48:39.776326+00:00
TR_0543;NO/5/1B;MAIL;14/07/2026;INVIATO SOLLECITO, risposta inviata a retelit il 14/07;Soleto;2026-07-14T08:00:52.844786+00:00
TR_0541;NO/3/1B;MAIL;14/07/2026;Aipo riferisce. entrambe le pratiche sono state inserite nel tavolo pareri Aipo del 23.06.2026, del quale stiamo aspettando il verbale firmato dal loro dirigente.;Soleto;2026-07-14T07:53:39.444455+00:00
TR_0543;NO/5/1B;MAIL;14/07/2026;inviato sollecito via Mail a Paolo Cattaneo ( riferente della pratica).;Soleto;2026-07-14T07:08:13.506601+00:00
TR_0496;NO/6/1B;MAIL;14/07/2026;inviata mail di sollecito...... abbiamo sentito il referente Cignetti che assicura in rilascio entro Agosto;Soleto;2026-07-14T07:01:15.959315+00:00
TR_0764;AUT/2/1B;TELEFONICO;14/07/2026;"Murante dell’ufficio tecnico, ci riferisce che le integrazioni sono state inserite e sono in attesa di pareri di altri enti comunali per il rilascio dell’autorizzazione.

Entro la settimana risponderà alla PEC di sollecito.";Soleto;2026-07-14T06:52:04.999607+00:00
TR_0497;AUT/2/1B;TELEFONICO;14/07/2026;"Murante dell’ufficio tecnico, ci riferisce che le integrazioni sono state inserite e sono in attesa di pareri di altri enti comunali per il rilascio dell’autorizzazione.

Entro la settimana risponderà alla PEC di sollecito.";Soleto;2026-07-14T06:52:04.995457+00:00
TR_0496;AUT/2/1B;TELEFONICO;14/07/2026;"Murante dell’ufficio tecnico, ci riferisce che le integrazioni sono state inserite e sono in attesa di pareri di altri enti comunali per il rilascio dell’autorizzazione.

Entro la settimana risponderà alla PEC di sollecito.";Soleto;2026-07-14T06:52:04.991029+00:00
TR_0481;AUT/2/1B;TELEFONICO;14/07/2026;"Murante dell’ufficio tecnico, ci riferisce che le integrazioni sono state inserite e sono in attesa di pareri di altri enti comunali per il rilascio dell’autorizzazione.

Entro la settimana risponderà alla PEC di sollecito.";Soleto;2026-07-14T06:52:04.986178+00:00
TR_0766;AUT/2/1B;TELEFONICO;14/07/2026;"Murante dell’ufficio tecnico, ci riferisce che le integrazioni sono state inserite e sono in attesa di pareri di altri enti comunali per il rilascio dell’autorizzazione.

Entro la settimana risponderà alla PEC di sollecito.";Soleto;2026-07-14T06:52:04.965210+00:00
TR_0540;AUT/1/1B;TELEFONICO;13/07/2026;sollecitato telefonicamente;Soleto;2026-07-13T12:14:52.005610+00:00
TR_0539;AUT/1/1B;TELEFONICO;13/07/2026;sollecitato telefonicamente;Soleto;2026-07-13T12:14:52.001084+00:00
