codice_verbale;data_sopralluogo;lotto;tratta_id;impresa;referente_impresa;referente_retelit;comune;localita;tipo_intervento;esito;note;segnalazioni;azioni_richieste;scadenza_azioni;prossimo_sopralluogo;firma_impresa;firma_retelit;foto_urls;created_at
VBS-2026-0001;04/08/2026;1B;CA/1/1B — COMUNE DI SETTIMO MILANESE;Soleto;Francesco Puliafito;Direttore Lavori;Via Reriss Romoli;;;Nessuna anomalia;Nessuna nota di rilievo;Presenza di due operai non riportati nel POS di cantiere - Adeguare la recinzione dell'area di cantiere - Dotarsi di WC chimico;Provvedere alla sistemazione di quanto rilevato;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0001/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0001/foto_2.jpg;2026-08-05T07:53:33.433576+00:00
VBS-2026-0002;27/07/2026;2B;CA/8/2B — PROVINCIA DI MILANO;Telebit;Francesco Puliafito;Direttore Lavori;SP40 Lacchiarella;;;Nessuna anomalia;Nessuna nota di rilievo;Fornire wc chimico - Si rammenta di rispettare ordinanza regionale in tema di esposizione al calore - Porre attenzione alla recinzione di cantiere ed agli scavi aperti per pozzetti/buche di lancio;Porre rimedio a quanto segnalato entro il 29.07;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0002/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0002/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0002/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0002/foto_4.jpg;2026-08-06T14:47:11.190382+00:00
VBS-2026-0003;03/08/2026;2B;CA/2/2B — PROVINCIA DI MILANO;Telebit;Francesco Puliafito;Direttore Lavori;SP139 dir. Zibido San Giacomo;;;Nessuna anomalia;Nessuna nota di rilievo;Integrare il cantiere con wc chimico - Integrare il cartello di cantiere con copia notifica preliminare -;Integrare quanto segnalato;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0003/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0003/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0003/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0003/foto_4.jpg;2026-08-06T15:03:23.275445+00:00
VBS-2026-0004;27/07/2026;2B;CA/8/2B — PROVINCIA DI MILANO;Telebit;Francesco Puliafito;Direttore Lavori;SP40 Lacchiarella;;;Nessuna anomalia;Nessuna nota di rilievo;Predisposizione recinzione area di cantiere - Predisporre wc chimico - Si ricorda di rispettare ordinanza 484 del 09/06/26 della Regione Lombardia;Integrare quanto segnalato;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0004/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0004/foto_2.jpg;2026-08-06T15:14:11.239487+00:00
VBS-2026-0005;06/08/2026;2B;CA/7/2B — COMUNE DI ZIBIDO;Telebit;Luigi Nespoli;Direttore Lavori;SP 139 dir;;;Nessuna anomalia;Sono in atto le operazioni di perforazione orizzontale. Rilevate interferenze con sottoservizi esistenti, risolte;—;—;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0005/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0005/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0005/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0005/foto_4.jpg;2026-08-06T16:06:07.392156+00:00
VBS-2026-0006;06/08/2026;2B;CA/9/2B — COMUNE DI LACCHIARELLA;Telebit;Luigi Nespoli;Direttore Lavori;SP 40;;;Nessuna anomalia;L'impresa esecutrice (Sifra Installazioni srl) segnala che la scorsa notte è stato rubato l'escavatore che era depositato in cantiere.;—;—;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0006/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0006/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0006/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0006/foto_4.jpg;2026-08-06T16:17:53.077080+00:00
VBS-2026-0007;30/07/2026;2B;CA/8/2B — PROVINCIA DI MILANO;Telebit;Francesco Puliafito;Direttore Lavori;LACCHIARELLA;;;Nessuna anomalia;—;Sono in atto operazioni di posa pozzetto a bordo carreggiata - il cantiere è correttamente segnalato e recintato;Non si segnalano criticità;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0007/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0007/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0007/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0007/foto_4.jpg;2026-08-06T16:21:06.249797+00:00
VBS-2026-0008;06/08/2026;2B;CA/8/2B — PROVINCIA DI MILANO;Telebit;Francesco Puliafito;Direttore Lavori;LACCHIARELLA;;;Nessuna anomalia;—;Sono in atto le operazioni di perforazione orizzontale - area di cantiere correttamente segnalata e delimitata - presente cartello di cantiere - Area di stoccaggio materiali delimitata;Non si segnalano criticità;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0008/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0008/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0008/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0008/foto_4.jpg;2026-08-06T16:26:25.285391+00:00
VBS-2026-0009;2026-08-07;1B;CA/1/1B — COMUNE DI SETTIMO MILANESE;Soleto;Luigi Nespoli;Direttore Lavori;via Reiss Romoli;;;Nessuna anomalia;Operazioni di posa con scavo a cielo libero;—;—;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0009/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0009/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0009/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0009/foto_4.jpg;2026-08-07T15:19:55.139360+00:00
VBS-2026-0010;2026-08-07;1A;CA/2/1A — COMUNE DI RHO;Valtellina;Luigi Nespoli;Direttore Lavori;Via Ghisolfa - Rho;;;Nessuna anomalia;Cantiere in allestimento e inizio scavo primo pozzetto;—;—;;;;;https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0010/foto_1.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0010/foto_2.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0010/foto_3.jpg, https://raw.githubusercontent.com/ENRI-RDS/dashboard/main/sopralluoghi/foto/VBS-2026-0010/foto_4.jpg;2026-08-07T15:43:54.763360+00:00
